"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"George T Baker Aviation School","Miami","FL","two year",736573,NA,"public"
"Hobe Sound Bible College","Hobe Sound","FL","four year",248012,3929,"private NFP"
"Jacksonville University","Jacksonville","FL","four year",36352768,10658,"private NFP"
"Lake-Sumter Community College","Leesburg","FL","two year",1068299,3238,"public"
"Lee County High Tech Center Central","Fort Myers","FL","two year",185556,NA,"public"
"Lively Technical Center","Tallahassee","FL","two year",1221780,NA,"public"
"Lindsey Hopkins Technical Education Center","Miami","FL","two year",1196013,NA,"public"
"Luther Rice University","Lithonia","GA","four year",4038202,5582,"private NFP"
"Matee Technical Institute","Bradenton","FL","two year",958303,NA,"public"
"Traviss Career Center","Lakeland","FL","two year",760268,NA,"public"
"Trinity Intertiol University","Davie","FL","four year",2485851,NA,"private NFP"
"University of Miami","Coral Gables","FL","four year",352580199,8499,"private NFP"
"Mid Florida Tech","Orlando","FL","two year",7438253,NA,"public"
"University of North Florida","Jacksonville","FL","four year",13650966,5440,"public"
"Northwest Florida State College","Niceville","FL","four year",747181,3007,"public"
"Orlando Tech","Orlando","FL","two year",822320,NA,"public"
"Palm Beach Atlantic University-West Palm Beach","West Palm Beach","FL","four year",36075900,7935,"private NFP"
"Palm Beach State College","Lake Worth","FL","four year",7080135,3591,"public"
"Pinellas Technical Education Center-Clearwater","Clearwater","FL","two year",600432,NA,"public"
"Saint Vincent de Paul Regiol Semiry","Boynton Beach","FL","four year",1093590,NA,"private NFP"
"Ridge Career Center","Winter Haven","FL","two year",748502,NA,"public"
"Ringling College of Art and Design","Sarasota","FL","four year",32257400,9242,"private NFP"
"Robert Morgan Educatiol Center","Miami","FL","two year",1840565,NA,"public"
"Saint Leo University","Saint Leo","FL","four year",73113283,6303,"private NFP"
"St Petersburg College","Clearwater","FL","four year",8873838,5714,"public"
"Santa Fe College","Gainesville","FL","four year",3381815,4103,"public"
"Sarasota County Technical Institute","Sarasota","FL","two year",1619785,NA,"public"
"Seminole Community College","Sanford","FL","two year",431808,4767,"public"
"Sheridan Technical Center","Hollywood","FL","two year",2577277,NA,"public"
"Saint John Vianney College Semiry","Miami","FL","four year",1214561,NA,"private NFP"
"University of South Florida-Main Campus","Tampa","FL","four year",67152757,5806,"public"
"Saint Thomas University","Miami Gardens","FL","four year",37185327,8381,"private NFP"
"Stetson University","DeLand","FL","four year",67318773,7428,"private NFP"
"Southeastern University","Lakeland","FL","four year",28108516,10597,"private NFP"
"Talmudic College of Florida","Miami Beach","FL","four year",158152,7083,"private NFP"
"The University of Tampa","Tampa","FL","four year",76911964,6881,"private NFP"
"Tom P Haney Technical Center","Pama City","FL","two year",538362,NA,"public"
"Trinity Baptist College","Jacksonville","FL","four year",603919,4148,"private NFP"
"Trinity College of Florida","Trinity","FL","four year",1060657,6593,"private NFP"
"Valencia Community College","Orlando","FL","two year",5841772,5148,"public"
"Warner University","Lake Wales","FL","four year",4659326,6291,"private NFP"
"Washington-Holmes Technical Center","Chipley","FL","two year",405272,NA,"public"
"The University of West Florida","Pensacola","FL","four year",16624894,4789,"public"
"McFatter Technical Center","Davie","FL","two year",1288125,NA,"public"
"Agnes Scott College","Decatur","GA","four year",6822993,6324,"private NFP"
"Albany State University","Albany","GA","four year",2837761,6777,"public"
"Andrew College","Cuthbert","GA","two year",64263,4418,"private NFP"
"Armstrong Atlantic State University","Savanh","GA","four year",12937132,5374,"public"
"Atlanta Technical College","Atlanta","GA","two year",2594082,NA,"public"
"Atlanta Christian College","East Point","GA","four year",6607797,7633,"private NFP"
"Clark Atlanta University","Atlanta","GA","four year",40777378,8983,"private NFP"
"Augusta Technical College","Augusta","GA","two year",1550268,NA,"public"
"Augusta State University","Augusta","GA","four year",13677621,5100,"public"
"Berry College","Mount Berry","GA","four year",20976368,5857,"private NFP"
"Beulah Heights University","Atlanta","GA","four year",1277487,7854,"private NFP"
"Breu University","Gainesville","GA","four year",24888107,6197,"private NFP"
"Brewton-Parker College","Mount Vernon","GA","four year",4095884,6324,"private NFP"
"West Georgia Technical College","Waco","GA","two year",2521383,NA,"public"
"Clayton  State University","Morrow","GA","four year",8608039,6460,"public"
