"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Saint Mary's University of Minnesota","Wino","MN","four year",41568374,7302,"private NFP"
"St. Olaf College","Northfield","MN","four year",59370348,6102,"private NFP"
"Crown College","Saint Bonifacius","MN","four year",8128111,8119,"private NFP"
"The College of Saint Scholastica","Duluth","MN","four year",39290611,9413,"private NFP"
"University of St Thomas","Saint Paul","MN","four year",143289114,8562,"private NFP"
"College of Visual Arts","Saint Paul","MN","four year",2696374,9136,"private NFP"
"Saint Paul College - A Community and Technical College","Saint Paul","MN","two year",6553000,6682,"public"
"Southwest Minnesota State University","Marshall","MN","four year",12184000,6572,"public"
"United Theological Semiry of the Twin Cities","New Brighton","MN","four year",651146,NA,"private NFP"
"Dunwoody College of Technology","Minneapolis","MN","four year",16161981,8005,"private NFP"
"Wino State University","Wino","MN","four year",36370000,8017,"public"
"William Mitchell College of Law","Saint Paul","MN","four year",22351303,NA,"private NFP"
"Century Community and Technical College","White Bear Lake","MN","two year",21475000,5251,"public"
"Alcorn State University","Alcorn State","MS","four year",535798,5668,"public"
"Belhaven University","Jackson","MS","four year",22455274,5531,"private NFP"
"Blue Mountain College","Blue Mountain","MS","four year",2972642,2816,"private NFP"
"Delta State University","Cleveland","MS","four year",9370609,5651,"public"
"Jackson State University","Jackson","MS","four year",5719621,7082,"public"
"Millsaps College","Jackson","MS","four year",11725857,6078,"private NFP"
"University of Mississippi Medical Center","Jackson","MS","four year",6921466,NA,"public"
"Mississippi University for Women","Columbus","MS","four year",1551418,5775,"public"
"Mississippi Valley State University","Itta Be","MS","four year",472517,4725,"public"
"Mississippi College","Clinton","MS","four year",36643555,6104,"private NFP"
"Mississippi State University","Mississippi State","MS","four year",63012379,6060,"public"
"Rust College","Holly Springs","MS","four year",407475,4415,"private NFP"
"Southeastern Baptist College","Laurel","MS","four year",300550,NA,"private NFP"
"University of Southern Mississippi","Hattiesburg","MS","four year",50764651,7308,"public"
"Tougaloo College","Tougaloo","MS","four year",4657800,5450,"private NFP"
"Wesley Biblical Semiry","Jackson","MS","four year",493416,NA,"private NFP"
"William Carey University","Hattiesburg","MS","four year",12927637,4246,"private NFP"
"Aquis Institute of Theology","Saint Louis","MO","four year",1601363,NA,"private NFP"
"Assemblies of God Theological Semiry","Springfield","MO","four year",2660244,NA,"private NFP"
"Avila University","Kansas City","MO","four year",15096948,6164,"private NFP"
"Baptist Bible College and Graduate School","Springfield","MO","four year",1362507,5669,"private NFP"
"Cox College","Springfield","MO","four year",2850422,7837,"private NFP"
"Calvary Bible College and Theological Semiry","Kansas City","MO","four year",1531082,3124,"private NFP"
"Central Bible College","Springfield","MO","four year",3980672,9537,"private NFP"
"University of Central Missouri","Warrensburg","MO","four year",43927308,5644,"public"
"Cleveland Chiropractic College","Overland Park","KS","four year",10825418,NA,"private NFP"
"Columbia College","Columbia","MO","four year",46760106,6098,"private NFP"
"Conception Semiry College","Conception","MO","four year",1764646,6360,"private NFP"
"Concordia Semiry","Saint Louis","MO","four year",4495707,NA,"private NFP"
"Cottey College","Nevada","MO","two year",1614548,4766,"private NFP"
"Covent Theological Semiry","Saint Louis","MO","four year",3837482,NA,"private NFP"
"Crowder College","Neosho","MO","two year",1097713,4304,"public"
"Culver-Stockton College","Canton","MO","four year",4620719,6830,"private NFP"
"Drury University","Springfield","MO","four year",21399142,4285,"private NFP"
"Eden Theological Semiry","Webster Grove","MO","four year",1187580,NA,"private NFP"
"Evangel University","Springfield","MO","four year",14762524,9135,"private NFP"
"Fontbonne University","Saint Louis","MO","four year",26533774,7281,"private NFP"
"Ozarks Technical Community College","Springfield","MO","two year",9711472,4569,"public"
"Hannibal-Lagrange College","Hannibal","MO","four year",5903282,8037,"private NFP"
"Harris-Stowe State University","Saint Louis","MO","four year",1166297,3785,"public"
"Jefferson College","Hillsboro","MO","two year",2634839,4478,"public"
"Barnes-Jewish College Goldfarb School of Nursing","Saint Louis","MO","four year",9302172,NA,"private NFP"
"Kansas City Art Institute","Kansas City","MO","four year",10054764,7769,"private NFP"
"Kenrick Glennon Semiry","Saint Louis","MO","four year",1824030,NA,"private NFP"
"A T Still University of Health Sciences","Kirksville","MO","four year",78602918,NA,"private NFP"
"CoxHealth School of Radiologic Technology","Springfield","MO","two year",54675,NA,"private NFP"
"Lincoln University","Jefferson City","MO","four year",6740440,6587,"public"
"Linn State Technical College","Linn","MO","two year",2032096,5149,"public"
"Logan College of Chiropractic","Chesterfield","MO","four year",22730047,NA,"private NFP"
"Maryville University of Saint Louis","Saint Louis","MO","four year",34302887,6062,"private NFP"
"Midwestern Baptist Theological Semiry","Kansas City","MO","four year",1819600,4911,"private NFP"
"Missouri Baptist University","Saint Louis","MO","four year",18943420,7060,"private NFP"
"Missouri Southern State University","Joplin","MO","four year",4802506,4829,"public"
"Missouri Valley College","Marshall","MO","four year",93053,5704,"private NFP"
"Missouri Western State University","Saint Joseph","MO","four year",12497147,5560,"public"
"Moberly Area Community College","Moberly","MO","two year",2489135,3508,"public"
"Hillyard Technical Center","Saint Joseph","MO","two year",77915,3256,"public"
"zarene Theological Semiry","Kansas City","MO","four year",1206461,NA,"private NFP"
"Nichols Career Center","Jefferson City","MO","two year",619065,4847,"public"
"Truman State University","Kirksville","MO","four year",19012542,5511,"public"
"Northwest Missouri State University","Maryville","MO","four year",29360115,5509,"public"
"Ozark Christian College","Joplin","MO","four year",2593391,4728,"private NFP"
"Ranken Technical College","Saint Louis","MO","four year",13112651,6981,"private NFP"
"Rockhurst University","Kansas City","MO","four year",27217845,6343,"private NFP"
"Rolla Technical Institute","Rolla","MO","two year",888831,6525,"public"
"Saint Louis Christian College","Florissant","MO","four year",247620,7514,"private NFP"
"St Louis College of Pharmacy","Saint Louis","MO","four year",24098718,8650,"private NFP"
"Saint Paul School of Theology","Kansas City","MO","four year",1033720,NA,"private NFP"
"Southwest Baptist University","Bolivar","MO","four year",17147856,7040,"private NFP"
"St John's Regiol Health Center-School of Radiologic Technology","Springfield","MO","two year",53923,NA,"private NFP"
"Saint Lukes College","Kansas City","MO","four year",965299,NA,"private NFP"
"Stephens College","Columbia","MO","four year",9287126,6680,"private NFP"
"Southeast Missouri State University","Cape Girardeau","MO","four year",23475748,5488,"public"
"North Central Missouri College","Trenton","MO","two year",126325,6329,"public"
"Truman Medical Center School for Nurse Anesthesia","Kansas City","MO","four year",163327,NA,"public"
"Kansas City University of Medicine and Biosciences","Kansas City","MO","four year",44104938,NA,"private NFP"
"Washington University in St Louis","Saint Louis","MO","four year",198232809,5967,"private NFP"
"Webster University","Saint Louis","MO","four year",170896900,6879,"private NFP"
"Wentworth Military Academy","Lexington","MO","two year",6138719,5635,"private NFP"
"Westminster College","Fulton","MO","four year",6477898,4756,"private NFP"
"William Jewell College","Liberty","MO","four year",5953764,7011,"private NFP"
"William Woods University","Fulton","MO","four year",17478367,7845,"private NFP"
"Carroll College","Hele","MT","four year",13765727,6234,"private NFP"
"Monta State University-Great Falls College of Technology","Great Falls","MT","two year",1551634,4600,"public"
"University of Great Falls","Great Falls","MT","four year",6124865,8763,"private NFP"
"University of Monta-Hele College of Technology","Hele","MT","two year",1039359,6390,"public"
"Miles Community College","Miles City","MT","two year",134160,4618,"public"
"Monta State University","Bozeman","MT","four year",71914837,6329,"public"
"Monta State University-Northern","Havre","MT","four year",2465280,3920,"public"
"Rocky Mountain College","Billings","MT","four year",9804700,8875,"private NFP"
"The University of Monta-Western","Dillon","MT","four year",3981243,4890,"public"
"Bellevue University","Bellevue","NE","four year",68698044,2787,"private NFP"
"Clarkson College","Omaha","NE","four year",7282576,8992,"private NFP"
"BryanLGH College of Health Sciences","Lincoln","NE","four year",4144111,5417,"private NFP"
"Chadron State College","Chadron","NE","four year",4331842,4403,"public"
"Concordia University","Seward","NE","four year",12182411,10170,"private NFP"
"Creighton University","Omaha","NE","four year",161189883,8965,"private NFP"
"Doane College","Crete","NE","four year",7511668,6561,"private NFP"
"Grace University","Omaha","NE","four year",2400901,5666,"private NFP"
"Hastings College","Hastings","NE","four year",9450495,6369,"private NFP"
"Alegent Health School of Radiologic Technology","Omaha","NE","two year",66205,NA,"private NFP"
"University of Nebraska at Kearney","Kearney","NE","four year",12618523,3722,"public"
"Mary Lanning Memorial Hospital School of Radiologic Technology","Hastings","NE","two year",64562,NA,"private NFP"
"Nebraska Methodist College of Nursing & Allied Health","Omaha","NE","four year",6537087,7095,"private NFP"
"Midland Lutheran College","Fremont","NE","four year",6322995,10044,"private NFP"
"Nebraska Christian College","Papillion","NE","four year",726683,4883,"private NFP"
"Nebraska Indian Community College","Macy","NE","two year",578738,NA,"public"
"University of Nebraska Medical Center","Omaha","NE","four year",26856576,NA,"public"
"Nebraska Wesleyan University","Lincoln","NE","four year",21395232,6634,"private NFP"
"Northeast Community College","Norfolk","NE","two year",1836086,4133,"public"
"Peru State College","Peru","NE","four year",2915007,4589,"public"
"Summit Christian College","Gering","NE","four year",95050,NA,"private NFP"
"College of Saint Mary","Omaha","NE","four year",11173675,6292,"private NFP"
"Union College","Lincoln","NE","four year",12104945,4369,"private NFP"
"Wayne State College","Wayne","NE","four year",8214920,5176,"public"
"Regiol West Medical Center School of Radiologic Technology","Scottsbluff","NE","two year",14785,NA,"private NFP"
"York College","York","NE","four year",2450980,7508,"private NFP"
"College of Southern Nevada","Las Vegas","NV","four year",23916000,6302,"public"
"University of Nevada-Las Vegas","Las Vegas","NV","four year",124585000,4888,"public"
"University of Nevada-Reno","Reno","NV","four year",63109803,6279,"public"
"Great Basin College","Elko","NV","four year",2125362,5951,"public"
"Sierra Nevada College","Incline Village","NV","four year",7027601,4903,"private NFP"
"Truckee Meadows Community College","Reno","NV","two year",3544000,6650,"public"
"Western Nevada College","Carson City","NV","four year",506000,5790,"public"
"Colby-Sawyer College","New London","NH","four year",13459824,4142,"private NFP"
"Dartmouth College","Hanover","NH","four year",133610357,4461,"private NFP"
"Franklin Pierce Law Center","Concord","NH","four year",14934303,NA,"private NFP"
"Lebanon College","Lebanon","NH","two year",902042,2948,"private NFP"
"Magdalen College","Warner","NH","four year",763727,9014,"private NFP"
"New England College","Henniker","NH","four year",21207848,10523,"private NFP"
